Owner,Project,File Path,Is Helm Template,apiVersion,Has Behavior,MinReplicas,MaxReplicas,Metric Type,Metric Name,Target Kind,Target Value
Karina-gt,K8S-HPA,app.yaml,False,autoscaling/v2,False,2,6,Resource,cpu,Utilization,60
VedantDomadiya,eks-terraform-manifests,hpa.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
zadi2712,demoGH,hpa.yaml,False,autoscaling/v1,False,2,5,resource,cpu,Utilization,5
moleculerjs,docker-demo,k8s.yaml,False,autoscaling/v2beta2,False,2,5,Resource,cpu,Utilization,50
ChoiYoungHa,FISA3-Kubernetes-Cluster-StressTest,HPA.yaml,False,autoscaling/v2,False,2,6,Resource,cpu,Utilization,70
dev-shinde,Inksight,k8/api-gateway/hpa.yaml,False,autoscaling/v2,False,2,5,Resource,cpu,Utilization,70
Tedydev-web,Client-ParkingLot,k8s.yaml,False,autoscaling/v2beta2,False,1,1,Resource,cpu,Utilization,90
fabriziomachado,go-hpa,hpa.yml,False,autoscaling/v1,False,1,6,resource,cpu,Utilization,15
yasinterol,hpaToKeda,hpa.yml,False,autoscaling/v2,False,2,10,Resource,cpu,Utilization,200
ymesika,istio_multiclusters_demos,istio.yaml,False,autoscaling/v2beta1,False,1,5,Resource,cpu,,
ymesika,istio_multiclusters_demos,istio.yaml,False,autoscaling/v2beta1,False,1,5,Resource,cpu,,
ymesika,istio_multiclusters_demos,istio.yaml,False,autoscaling/v2beta1,False,1,5,Resource,cpu,,
ymesika,istio_multiclusters_demos,istio.yaml,False,autoscaling/v2beta1,False,1,5,Resource,cpu,,
ymesika,istio_multiclusters_demos,istio.yaml,False,autoscaling/v2beta1,False,1,1,Resource,cpu,,
markvincze,IntroductionToKubernetes,hpa.yaml,False,autoscaling/v1,False,1,10,resource,cpu,Utilization,50
Katy0903,acit3496_project2,newp2.yml,False,autoscaling/v2,False,2,5,Resource,cpu,Utilization,50
jinwoo0824,test,sign.yaml,False,autoscaling/v1,False,3,10,resource,cpu,Utilization,50
jwdavis,k8s-demo-app,deploy.yaml,False,autoscaling/v2,False,1,5,Resource,cpu,Utilization,30
Nency-Ravaliya,YatriDay10-kubernetes-minikube-project,hpa-v2.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
iamsamitdev,IngressCluster,hpa-v2.yaml,False,autoscaling/v2,True,1,10,Resource,cpu,Utilization,5
andre-luiz1997,postech-tech-challenge,hpa.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,30
Sufiyan-dev,cc-defi-frontend,hpa.yaml,False,autoscaling/v2,True,1,10,,,,
ArunMagi,kubernetes,hpa.yaml,False,autoscaling/v2,False,1,10,Resource,cpu,Utilization,50
arjun-s-XL,k8s,hpa.yaml,False,autoscaling/v1,False,1,10,resource,cpu,Utilization,50
